group,n_cell,n_ctrl,assoc_mcp,assoc_mcz,hetero_mcp,hetero_mcz,n_fdr_0.05,n_fdr_0.1,n_fdr_0.2
PEC,3942.0,1000.0,0.15784216,0.99384075,0.001998002,4.5017247,0.0,0.0,0.0
POD,1431.0,1000.0,0.13086914,1.1097674,0.42057943,0.029762998,0.0,0.0,0.0
POD_ECMmodulating,446.0,1000.0,0.32867134,0.36683476,0.55444556,-0.15966874,0.0,0.0,0.0
PTS1,13125.0,1000.0,0.11988012,1.2298516,0.7942058,-0.83535653,0.0,0.0,0.0
PTS1/S2,56597.0,1000.0,0.4145854,0.1532715,0.5024975,-0.20464668,0.0,0.0,0.0
PTS2,25784.0,1000.0,0.15484515,0.9947038,0.8321678,-0.87774324,0.0,0.0,0.0
PTS2/S3,33694.0,1000.0,0.26873127,0.5581363,0.26373628,0.414479,0.0,0.0,0.0
PTS3,15699.0,1000.0,0.30769232,0.42294878,0.57042956,-0.32680184,0.0,0.0,0.0
PapE1,6745.0,1000.0,0.27572426,0.48234543,0.3986014,0.052505553,0.0,0.0,0.0
PapE2,2423.0,1000.0,0.41558442,0.1464504,0.6123876,-0.41403353,0.0,0.0,0.0
Pericytes,15476.0,1000.0,0.7422577,-0.6790885,0.32467532,0.34053257,0.0,0.0,0.0
Perivascular_fibroblasts,393.0,1000.0,0.53946054,-0.1460089,0.53246754,-0.113226004,0.0,0.0,0.0
Plasma cells,2175.0,1000.0,0.95404595,-1.4093609,0.47452548,-0.026213706,0.0,0.0,0.0
Platelets,1.0,1000.0,0.92007995,-1.3555057,,,0.0,0.0,0.0
RBC,61.0,1000.0,0.55744255,-0.22452216,0.67832166,-0.47495788,0.0,0.0,0.0
Reticulocytes,18.0,1000.0,0.3216783,0.39301163,0.95904094,-1.8408442,0.0,0.0,0.0
Schwann cells,258.0,1000.0,0.51648355,-0.12939358,0.9040959,-1.3061427,0.0,0.0,0.0
TAL,38830.0,1000.0,0.060939062,1.5866132,0.001998002,7.1070895,0.0,0.0,0.0
Tregs,1765.0,1000.0,0.84915084,-1.0380515,0.3216783,0.44722378,0.0,0.0,0.0
VSMC,6949.0,1000.0,0.85514486,-1.0701463,0.032967035,2.0620973,0.0,0.0,0.0
VSMC_REN+,182.0,1000.0,0.5804196,-0.24511072,0.44055945,0.14094421,0.0,0.0,0.0
aATL_CCL2+,5558.0,1000.0,0.000999001,3.5645025,0.044955045,1.8752515,0.0,0.0,0.0
aCD-PC,9119.0,1000.0,0.04095904,1.8248404,0.000999001,5.9873824,0.0,0.0,0.0
aFibroblasts,751.0,1000.0,0.15584415,0.96192497,0.22477522,0.7313902,0.0,0.0,0.0
aPT,2557.0,1000.0,0.00999001,2.8807704,0.032967035,2.357566,0.0,0.0,0.0
aPTS1/S2,23464.0,1000.0,0.061938062,1.5849385,0.15884116,0.894416,0.0,0.0,0.0
aPTS3,9583.0,1000.0,0.12287712,1.2033052,0.1968032,0.75089884,0.0,0.0,0.0
aTAL,14187.0,1000.0,0.012987013,2.2371843,0.000999001,5.612955,0.0,0.0,0.0
cycEC-PTC,10256.0,1000.0,0.74125874,-0.64111483,0.55744255,-0.257023,0.0,0.0,0.0
dCD-ICB,699.0,1000.0,0.7312687,-0.6138003,0.15584415,0.9913393,0.0,0.0,0.0
dCD-PC,6296.0,1000.0,0.000999001,3.937419,0.001998002,4.1871934,1.0,1.0,1.0
dDTL1/2,3616.0,1000.0,0.16383617,0.9417374,0.002997003,4.3573623,0.0,0.0,0.0
dEC-LYM,158.0,1000.0,0.995005,-2.2475135,0.73426574,-0.5998074,0.0,0.0,0.0
dEC-PTC,1979.0,1000.0,0.18681319,0.8835557,0.17082918,0.87479377,0.0,0.0,0.0
dEC-cap,4.0,1000.0,0.09490509,1.3706807,,,0.0,0.0,0.0
dEC-venous,9770.0,1000.0,0.6113886,-0.28069985,0.1988012,0.74233556,0.0,0.0,0.0
dPOD,855.0,1000.0,0.3006993,0.46264914,0.95204794,-1.4581743,0.0,0.0,0.0
dPT,1397.0,1000.0,0.10689311,1.2317795,0.00999001,3.0532532,0.0,0.0,0.0
dPTS1/S2,26335.0,1000.0,0.45154846,0.08164356,0.043956045,2.1212418,0.0,0.0,0.0
dPapE,254.0,1000.0,0.21478522,0.7885429,0.38861138,0.3021727,0.0,0.0,0.0
gdT cells,815.0,1000.0,0.9070929,-1.2939566,0.15184815,1.0470581,0.0,0.0,0.0
pDCs,491.0,1000.0,0.5944056,-0.30873284,0.6253746,-0.39761722,0.0,0.0,0.0
