,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC008569.1,95.56481643,0.084371863,1.423877587,2.091980795,0.036440234,0.135467798
AC156455.1,16.61871626,-0.003300493,1.711574227,0.816042626,0.414475756,0.690174581
OAZ3,14.06991445,0.527999799,1.924894567,1.657024484,0.097514525,0.288123315
NDUFA13,5602.345756,5.800517977,0.977932443,20.19943504,9.90236E-91,1.70586E-88
CCDC18,137.9647932,-0.299076022,2.014028535,-2.248626996,0.024536237,0.099011753
AC079336.4,22.64705558,-0.649626051,0.788289598,0,1,1
AC083837.1,262.6009866,-1.535480959,3.428434398,-1.274567901,0.202462225,0.462274619
ITPR1,935.3533311,-1.080310743,0.968023353,-4.303547449,1.68085E-05,0.000143243
TNIK,556.2876348,-1.070102071,1.319775188,-5.984437434,2.17139E-09,2.96705E-08
AL117190.2,16.25288574,-0.165761458,9.662757015,-0.452269523,0.651074829,0.865078114
RAPGEF1,778.9000599,-0.270843809,0.570672777,-1.480269329,0.138801385,0.366427092
ATAD3C,74.91619659,1.289697447,2.335286409,0.152569275,0.878737957,1
CEP72,19.76733589,0.074938707,1.908734405,0.360522412,0.7184565,0.910469526
NUPR1,827.161285,6.195288656,16.15432744,1.200782888,0.229835431,0.498252226
SPEG,17.23300431,0.080165626,2.16301815,0.283392288,0.77687614,0.947699901
FBLN7,19.90731823,-0.175146033,1.430555527,1.073334737,0.283120955,0.562104929
ZNF600,111.4024754,-0.286585901,1.507706332,0.623529874,0.532936377,0.783925619
CPED1,125.4006072,-0.043590979,22.54953983,-0.015197701,0.987874456,1
AC079807.1,19.3207015,0.121568301,1.164965596,1.769440606,0.076820374,0.241954988
AL158206.1,109.6578056,0.177181897,1.791507138,0.779262246,0.43582525,0.707106451
ARL14EPL,50.29489901,0.52525228,2.130911317,-0.451321035,0.651758187,0.865496816
BPHL,875.2839435,0.774732531,2.13088981,4.608928015,4.0475E-06,3.83182E-05
AC090644.1,31.32564938,0.001825062,11.11571146,-0.074321816,0.940754318,1
BICDL1,898.5755313,-1.185454577,6.090902412,-2.446178745,0.01443794,0.063454583
GASK1A,37.50984596,-0.189806251,11.03870789,-0.286066557,0.774827145,0.946771054
GRK2,185.8520647,1.370674999,1.463739103,5.866617276,4.44776E-09,5.91828E-08
IL1RL2,81.90728588,0.451314416,1.482624624,-0.8805394,0.378567171,0.659450613
RXFP1,84.79788203,-0.627710045,1.57516455,2.545460807,0.010913361,0.049991072
RHOB,2254.088001,5.171708819,2.511905099,9.306279016,1.32389E-20,3.4895E-19
AC009185.1,26.11634475,0.155565406,1.282169516,1.086669504,0.277182896,0.555081694
ARSE,375.0258495,0.147783681,1.319265281,3.709345626,0.000207796,0.00145156
AP003068.2,38.69525856,0.061977998,16.28448923,0.006669174,0.994678808,1
AC110611.1,21.12090028,-0.107459376,1.110124745,1.346650306,0.178092884,0.427910847
AC025164.1,144.8084412,2.63107579,1.827293823,4.938405295,7.8764E-07,8.04911E-06
WWTR1,1227.461174,-0.732467706,1.46501507,-3.72496387,0.000195343,0.001369532
LRP2,2050.136021,-0.057891017,89.73270773,0.052224391,0.958349898,1
ENPP2,499.4240443,0.918150545,1.452074629,3.797132075,0.00014638,0.001046019
SCLT1,551.1737791,-0.464961118,0.834559968,-0.291762028,0.77046858,0.944011905
BAG3,693.9972295,2.245860457,2.702390433,4.630973266,3.63951E-06,3.4694E-05
PPM1F,150.7383849,0.125686843,1.217403355,1.002864563,0.315926213,0.596660175
NIPAL2,102.5605197,-0.606335232,1.11735031,0.0279916,0.977668851,1
ICAM3,304.9344118,0.54868363,25.56229261,0.516621434,0.605420451,0.832809224
C17orf97,140.7881605,0.085894386,24.89594669,-0.007631231,0.993911218,1
PKIB,144.0131243,0.024307403,28.59245594,-0.01930429,0.984598362,1
EFNB1,180.3902632,2.008928099,2.516480042,3.592137865,0.000327976,0.002206406
CTSB,2080.127334,3.038165989,2.025514978,3.914606978,9.05516E-05,0.000673517
EBF1,521.873087,-0.618178442,1.301274976,-0.213860737,0.830655659,0.981008379
MAGI2,3374.709038,-2.907567541,1.273537199,-3.942853001,8.0518E-05,0.000604951
MLLT3,766.7126531,0.116609015,0.765077383,-5.568120562,2.57502E-08,3.15644E-07
AC067945.4,27.47365481,0.638557569,2.913748567,1.867121788,0.061884582,0.206274128
LDHB,10765.11181,5.50661829,1.889153802,10.58203191,3.61042E-26,1.20937E-24
KCNB2,35.71893296,-0.089034443,1.913538105,0.355930713,0.721892455,0.912964933
AC008393.1,26.76105693,0.417895165,1.551812846,2.133469038,0.032886269,0.124952279
AL022328.4,31.45781345,0.343615815,1.495517353,2.010240276,0.044405765,0.159368457
AJUBA,73.23121036,0.225881917,1.492198085,1.167232043,0.243116674,0.513879613
LINC01320,1871.391715,-1.228132549,5.294111388,-1.248847931,0.211720699,0.473232063
CCDC153,29.18301735,0.379603449,1.38505036,-0.766539043,0.44335563,0.712060784
CTSV,122.638414,0.609026067,2.054482872,2.383358447,0.017155481,0.073318143
EGFL8,71.77087867,0.156861019,1.337481114,0.628431273,0.529721456,0.781021379
IL12RB2,106.9402335,-0.060314413,2.949415397,0.259794766,0.795022088,0.958936995
RGS19,122.271757,4.150607671,2.567092638,4.684556958,2.80566E-06,2.71749E-05
POLD3,314.8586303,-0.051482453,0.96970227,-0.642040419,0.52084694,0.772422818
RASGRF2,338.4406207,0.319744551,1.86224504,-1.251767418,0.210654626,0.472241775
AC015802.4,15.12456517,-0.08690615,1.547710263,0.587673295,0.556751604,0.799848506
PLEK2,65.12917422,0.503790559,1.707393107,2.893688349,0.003807459,0.019908159
PWRN4,16.54536175,0.051237961,1.684474185,1.148784231,0.250644963,0.522917812
AC114971.1,20.88498378,-0.066083525,2.038893872,3.8721718,0.00010787,0.000787156
WDR81,98.71004397,0.011681625,1.868009922,0.300698394,0.763644494,0.93997827
PTGFR,103.9749995,-0.063109855,47.73177553,-0.076069037,0.939364174,1
ZNF665,87.20218333,0.285008097,1.356729974,1.39051294,0.164373173,0.407917304
AC061708.1,14.82070307,-0.122417624,2.004664453,0.87177349,0.38333196,0.662724626
AC092353.1,33.34062738,-0.449907543,7.182915029,0.577492728,0.56360665,0.80490205
KCNQ3,114.8505055,-0.252909755,10.8043332,-0.410022928,0.681789129,0.885701552
ZNF793,103.2964741,-0.065212912,38.11940777,-0.109739789,0.912615744,1
AC092650.1,48.28103073,0.149490235,1.383456297,0.550157209,0.58221155,0.817763864
BATF3,25.1883736,-0.02431101,1.193762896,1.476622695,0.139776805,0.368020424
WSCD1,48.20853207,0.146501604,1.464439709,0.646212429,0.518141791,0.770700426
ELMO1-AS1,70.24270315,-0.918311097,2.908500116,2.776923779,0.005487605,0.027486472
CRB3,210.7742125,6.546033662,1.068055113,5.189499876,2.1086E-07,2.33543E-06
AP001011.1,193.6476268,0.479453595,1.788056318,2.008046823,0.044638316,0.160024466
FSTL4,186.3202142,-0.065451001,48.22593087,-0.057499049,0.954147663,1
LINC00989,25.57376442,-0.02690284,2.315212244,0.236274764,0.813219468,0.970811559
TNFRSF4,57.88645048,5.281223271,3.46828285,0.360482486,0.718486351,0.910469526
KLC3,37.34219955,0.333970186,1.637112771,13.01610279,9.91012E-39,5.31127E-37
ALOX5AP,298.6808986,3.751725327,2.873956945,4.589448383,4.44419E-06,4.19092E-05
RUNX1T1,193.1474365,-0.720009196,1.6145142,0.205497484,0.837183464,0.984435504
LINC01707,13.93412695,0.067099753,1.863996521,0.889320496,0.373830859,0.655429598
CD27,63.29395926,0.466816783,2.112367277,1.975682435,0.048190756,0.169667802
KCTD17,26.9728642,0.440484771,1.765764617,1.152448313,0.249136897,0.52078519
LARGE-AS1,22.40496152,-0.240184793,2.089396915,0.829847604,0.406624952,0.683526617
CRTC3-AS1,71.66341259,-0.042388911,1.431254869,-0.602644395,0.54674528,0.793866905
FAM3D-AS1,31.13677771,0.027484008,1.799107401,0.768926343,0.441937038,0.711272373
PANTR1,504.2532542,1.191679698,5.908950671,14.91534504,2.6192E-50,1.9142E-48
PLSCR2,110.1552835,0.282698372,1.315871956,-0.537800003,0.59071513,0.823263343
PALD1,92.83358738,-0.483394098,2.343257301,0.790469452,0.429253655,0.700990601
C6orf201,13.91595939,0.062685398,1.746066118,1.026325241,0.304738304,0.585036898
FLT1,1038.716012,0.327233048,3.117716398,1.023416216,0.306111095,0.586039638
AC091132.4,29.82860941,0.166183933,1.485052915,0.83201153,0.405402436,0.682570519
LINC02666,61.06582961,0.005031853,1.312216797,-0.91526641,0.360051788,0.644640801
PRSS22,105.8924911,0.588247565,1.457140378,2.699733574,0.006939502,0.033827883
REPS2,297.7037906,-0.053520444,40.26717494,-0.056009161,0.955334509,1
TPRG1-AS1,16.78716292,-0.072065365,1.584853981,1.125989082,0.260170141,0.533899457
LINC02691,20.10070279,-0.016348546,1.702994651,0.825037857,0.409350098,0.686066782
CHAF1B,22.24830645,0.556313009,1.430074237,2.553836169,0.010654337,0.048920701
PAK5,30.82849514,-0.108434742,2.056445193,0.709379505,0.478089003,0.739979149
CYBRD1,142.2744387,0.040509843,40.32698704,-0.019483361,0.98445551,1
CENPO,27.91459417,0.023641863,0.862028374,2.231580517,0.0256427,0.102409971
ACSL5,131.9811023,0.069507636,34.14830126,-0.003421493,0.997270049,1
TAGAP,259.3961281,5.092261474,4.49843404,3.708373312,0.000208595,0.00145609
CD226,113.0968682,0.026278837,1.032256021,0.650520379,0.515356143,0.769278789
PCAT6,25.24536061,0.493477682,2.115908294,1.710017301,0.087262674,0.266568402
METTL1,33.78284786,0.056713811,1.715792614,1.461519743,0.143872862,0.374911794
AC012313.6,19.24798967,0.361963111,1.215381627,1.592567715,0.111257201,0.316607144
LINC02341,40.4701388,-0.073798609,14.08281821,-0.060872821,0.951460495,1
ANAPC2,87.9451376,1.178930309,9.728562524,2.663358842,0.007736486,0.037149768
TNC,210.9512851,-0.080768158,1.996114764,-0.188699777,0.850328126,0.990116528
LRRTM3,14.16045065,-0.168233485,2.551566184,0.682067221,0.495196446,0.752545702
NR3C1,895.9182431,0.35273735,0.930169152,2.468317719,0.013574977,0.060379256
COLCA2,51.92605508,0.024805175,33.88877443,-0.087534651,0.930246543,1
SCO2,262.8241946,3.106981621,2.496000445,2.472205902,0.013428215,0.059917664
AC004253.1,19.19529327,0.036403306,2.385153902,0.366222782,0.714198844,0.90811552
TINAGL1,672.5105848,4.001578759,25.54846943,4.523692205,6.07701E-06,5.61541E-05
ERRFI1,1441.850099,0.570030939,1.119768708,2.322857305,0.020186819,0.084523545
AC022144.1,27.85164394,-0.045855582,1.250083583,1.540495163,0.123439701,0.339749728
MEIS1,183.0616499,-1.502165811,3.448624984,-1.625720223,0.104009186,0.301778242
RPH3A,13.98175833,-0.051477678,2.989617786,0.4146612,0.67838994,0.883904342
AC083855.2,33.07417863,0.027826083,4.042097386,0.241904012,0.808854541,0.968671954
TCEAL2,141.1627222,0.468058474,1.847206538,3.044167498,0.002333252,0.0129809
AADAT,51.19572778,0.274984348,1.374499751,1.566402341,0.117254455,0.328060827
TH2LCRR,21.79962509,0.062628987,1.78692513,0.451659822,0.651514067,0.865387153
KLHL1,20.57283011,-0.011693818,3.305344765,0.56087972,0.574879536,0.811866913
JUNB,5423.345564,6.174911025,2.329217008,11.93573917,7.70712E-33,3.33411E-31
OAS2,53.18240388,0.610701546,1.879849517,0.933039838,0.3507994,0.634451033
CYGB,29.32168217,0.189586648,2.44566604,0.558604214,0.576431864,0.812748257
OLFML2B,24.38929081,0.044609386,1.696270509,1.149470703,0.250361941,0.522519623
PCBP3,83.43493905,0.301986385,2.02801354,0.235523059,0.813802784,0.971296655
LRIG1,123.0142649,-0.72830899,0.643601819,-0.086707676,0.930903875,1
RASGRP1,196.4816419,0.932378789,1.713829496,0.485635047,0.627225943,0.848389049
ATOH8,67.75922415,0.044776251,1.828595679,-3.467281194,0.000525752,0.003394863
TSSK3,16.11085326,-0.042030182,1.75434471,0.701450937,0.483021643,0.743649823
TRIM9,24.1507511,-0.055142439,1.475454121,0.859897996,0.389845273,0.668107963
SLC27A2,813.6211524,-1.87370928,169.5861414,0.769102143,0.441832676,0.711223064
PPP1R26-AS1,82.83665306,-0.137080182,31.89518656,-0.199677581,0.841732748,0.98716413
LINC01843,16.26254086,-0.038108485,2.285500413,0.910893773,0.362351347,0.646359222
TM4SF18,253.2818087,2.718884336,2.635928598,3.776816841,0.000158845,0.001125924
C11orf21,22.06022714,0.595603604,3.930896818,1.571443724,0.116079616,0.325718458
AL662844.4,31.57107678,0.328814204,1.292510701,2.43513512,0.01488623,0.065010167
MPP3,49.77004118,0.197669133,1.49421214,0.179360583,0.85765458,0.993968492
AL031963.3,26.40649713,0.371853291,1.90067027,1.809911972,0.070309439,0.226923774
LINC02028,15.48329096,0.042089801,1.606187141,1.016883028,0.309209078,0.589280912
SLC16A4,823.0883626,0.619610837,1.780888745,1.216250719,0.223889428,0.48976447
VPREB3,17.68737698,0.395269891,1.696194489,1.474100928,0.140454419,0.369300566
HBA1,57652.78544,8.464142346,37.3094809,-1.283157629,0.199436857,0.457869434
IGHV4-39,32.95969735,0.110039123,308.495956,0.097871403,0.922034408,1
ATAD2,107.0148253,0.33760038,1.075991883,0.923158219,0.355924758,0.639881875
FAM214A,444.1054604,-0.624120323,0.347362829,-3.264183015,0.001097802,0.006694373
ITIH5,247.9717091,0.860501145,7.268233405,12.46025038,1.22984E-35,5.99205E-34
IGKV1-6,30.41407921,0.123296852,162.3427099,0.251003522,0.801811386,0.963872204
SLC19A3,62.37617348,-0.228053939,2.115163163,-0.333798139,0.738531888,0.923836777
LINC02208,56.11639131,-0.537691019,3.095241409,-0.364041731,0.715826847,0.909252149
IPO13,125.8399035,0.86507928,2.306171292,1.963343132,0.049606317,0.173137532
AL050403.2,85.52288029,-0.011743805,1.302542631,0.356925178,0.72114782,0.912307295
PADI4,21.61596779,0.025142951,3.808813621,0.822056378,0.411044811,0.686856549
MYO10,995.3320871,-0.060942646,0.244361228,-28.79126418,2.7593E-182,9.1789E-180
AC007389.1,102.4872832,0.145199581,1.26984133,21.96522181,6.1954E-107,1.3282E-104
MPZL3,204.9713443,1.128398428,3.766729074,-1.562265559,0.118225442,0.329820948
LINC01507,15.62609613,-0.121344009,2.335969939,0.943121097,0.345618966,0.628854425
PADI2,78.1399543,0.470411067,1.62513559,1.011318338,0.311864092,0.592118263
AC012409.2,171.6921848,-0.582751381,2.351515265,-0.62773368,0.530178418,0.781456257
AL592429.2,123.6086007,-0.337528245,1.493944969,-1.320089103,0.186805271,0.441477326
SNX30,316.5181491,-1.754950517,1.852783653,-1.517194319,0.12921763,0.348981657
AC079848.2,33.31603805,-0.043959938,1.745633966,-0.212549864,0.831678081,0.981310964
IGHV1-18,31.14187136,0.098924841,249.7391222,0.418587389,0.675517708,0.882338723
GMDS-DT,1212.591532,-1.854226379,0.639226546,-12.23083842,2.12731E-34,9.91411E-33
Z93241.1,65.58495809,1.02278422,7.197163034,-0.647729652,0.517159822,0.770245432
AC010542.5,16.70792641,0.273366615,1.879221188,0.430705637,0.66668242,0.87647096
PSAT1,860.3335651,0.190866486,56.03214076,0.12473752,0.900731353,1
LINC02694,220.1777256,-0.881671821,3.681287502,-0.65284429,0.513856667,0.768042381
MYADM,380.4483948,3.582854995,1.265247216,8.041810306,8.85209E-16,1.8247E-14
LINC02086,50.88383439,0.933539619,1.233082618,0.562873352,0.573521127,0.811254885
RAB3D,26.52027688,0.197717778,1.450551075,0.378379031,0.705149043,0.901361179
AGO4,243.8077691,-0.175992462,1.031456758,-1.554283264,0.120116864,0.333074845
AC073332.1,112.8419751,-0.252461217,0.719213429,0.492052863,0.622681974,0.845700831
FNBP1,1002.190929,-0.376233954,2.597586144,0.416472212,0.677064497,0.883131585
AC097532.3,24.67309834,0.205728973,1.557253421,1.18201604,0.237199336,0.50710148
KRTAP5-AS1,27.33805511,0.098061215,1.504843088,0.622583773,0.533558078,0.784280782
AC009139.2,14.2895412,0.041910874,1.780819913,1.003696397,0.315524974,0.596252581
SMIM10L2B,17.21807219,0.253703036,1.732965246,1.123561081,0.261199274,0.535100743
FGF12,154.6481825,-0.437520878,1.607552891,0.07434047,0.940739476,1
LURAP1L,134.7170716,-0.384613543,1.94531645,0.789835381,0.429623913,0.701282892
SIGLEC9,23.02104146,0.34936942,2.174796861,1.315367957,0.188386269,0.443642289
CYP3A7,53.99538165,-0.027871075,2.73371679,0.868164243,0.385304426,0.664159865
LINC01435,213.1944443,-0.389252859,1.986411545,-0.447347916,0.654623875,0.867632457
USP44,55.39105464,1.002559559,2.96279117,0.54177247,0.587975258,0.821549869
AC073167.1,61.13675087,0.046620574,11.52306944,0.101755337,0.918950878,1
GLIS1,130.3415927,-3.10290906,4.610645461,-1.918616388,0.0550329,0.188798857
C19orf71,16.53640641,-0.267439615,1.9039329,0.852223348,0.39409014,0.671931351
AC004949.1,13.51082476,-0.08164099,2.527288613,0.960353036,0.336877566,0.618667025
THSD8,35.05031551,0.232514804,1.161951954,2.054561578,0.03992137,0.145603575
PIEZO1,246.2893538,1.224594254,2.3784098,-1.482436245,0.138224256,0.365328601
PPP2R3B,55.56665406,-0.10155635,1.077727696,-0.498108244,0.61840775,0.842743264
ZDHHC11,23.84935947,-1.010418246,3.276810116,0.03249346,0.974078531,1
AC015922.3,31.73530689,0.102893086,25.70403784,0.107247418,0.914592698,1
AC004160.1,65.85567429,0.092245883,1.541580529,16.48220399,4.9256E-61,4.70468E-59
KCNJ8,24.76524225,0.176962412,2.122991015,0.420647888,0.67401222,0.88126861
AL356488.3,26.53826072,0.539991287,1.547029107,2.165062255,0.030382918,0.117335473
AC005355.1,21.07688167,-0.002305224,2.125774183,0.778049869,0.436539615,0.707186845
AC105402.3,14502.86753,4.471778101,35.50383394,0.8755135,0.381294568,0.660858517
AC012499.1,20.21570929,0.088135325,1.49013394,1.106909344,0.268333125,0.544340653
STUM,68.4474714,-0.095637202,12.48926991,-0.154521689,0.877198411,1
FREM1,583.8759842,-1.07814114,5.816059472,-1.846743659,0.064784301,0.213010958
SLC25A48,161.2495807,-0.0436789,1.418824721,-1.012906749,0.311104704,0.59125829
STPG2-AS1,17.43038899,-0.098021056,2.149607391,0.567540644,0.570346921,0.809791925
INMT,46.35838938,0.149745065,1.589106961,1.461013735,0.144011672,0.374974521
ZEB2,986.7769687,-0.043058975,2.256534809,0.835736223,0.403303313,0.680347315
TAC1,14.30663434,0.300529517,2.197408705,0.488641581,0.625095469,0.847427768
HBG2,12668.49953,0.36416895,72.8645026,0.746798551,0.45518517,0.720809478
AC007533.1,15.22399848,-0.139894394,1.446086585,1.092710283,0.274521024,0.551730065
SLC3A1,2332.751388,0.629225885,1.672893781,2.79136039,0.0052487,0.026413252
SYT2,25.94221042,-0.056030274,1.486374923,1.209515787,0.22646475,0.493495695
ADRB2,65.14425126,0.465409503,1.643720438,3.021231853,0.002517485,0.013854067
TOX2,80.83080899,-0.508040793,1.545316204,1.609640843,0.107476286,0.309222706
AC018754.1,53.00974115,0.281819638,1.704718254,1.788777265,0.073650694,0.234855502
TYRO3,62.18354187,-0.145183985,4.121653189,0.013513128,0.989218412,1
SLC38A11,314.5776624,0.684538562,1.903242181,4.325687267,1.52057E-05,0.000130856
FECH,300.2800942,1.017678814,2.294779123,3.056242596,0.002241298,0.012563512
LINC00885,34.73835481,-0.226468309,1.166326316,1.332290076,0.182764887,0.435118635
EHHADH,849.3143994,-0.211338423,0.870590439,-0.27472443,0.783527961,0.952049293
BMP1,52.22774071,-0.047007835,20.24393371,-0.032049192,0.974432821,1
LINC02303,113.6430553,0.016018321,2.846504864,0.9087126,0.363501852,0.646364558
GRK7,14.94358544,-0.12977083,2.574331982,0.468413836,0.639488676,0.855875035
CTSH,2152.211786,4.08110735,1.012567975,13.16346216,1.42408E-39,8.03396E-38
GIPC2,919.5505133,-0.414805761,7.607670153,1.932337905,0.053317813,0.183895939
MKRN2OS,31.96560827,0.33995812,1.513085931,0.510004656,0.6100482,0.836598611
TMEM252-DT,54.83685492,-0.161108192,9.766546693,-0.144297486,0.885265564,1
AC147651.4,12.90797651,0.439223965,1.760195737,2.024944897,0.042873023,0.154731033
QPCT,76.0457655,6.542455808,2.132723691,11.56813088,5.97706E-31,2.37287E-29
AC009975.1,42.2012341,-0.264813448,1.855468189,0.15167867,0.879440381,1
SLC4A3,21.32166109,0.040957049,1.670049828,0.817946005,0.413388019,0.689242002
SERPINA1,2533.405515,7.7583701,3.006065762,6.280379764,3.37747E-10,4.88493E-09
AC092640.1,15.96920842,-0.087083812,2.056349701,1.216254764,0.223887888,0.48976447
HID1,56.99869439,0.573395102,1.207743044,2.928845797,0.003402232,0.018047633
AC079921.1,83.90965866,-0.020111794,0.700758612,2.948681116,0.003191331,0.017141853
DIPK2B,72.32071555,0.540001775,1.832479232,0.96785187,0.333118355,0.614453684
EIF5AL1,20.84636736,0.574920409,2.368406193,0.239295235,0.81087666,0.969814919
AC079385.1,24.44894606,-1.417920201,2.579977425,24.70298201,9.9342E-135,2.522E-132
ZSCAN21,77.07369664,-0.141970336,0.61190005,2.975741989,0.002922807,0.01578741
ZNF829,26.48546056,0.075612834,1.706725862,0.340268477,0.733654354,0.920359369
PRDX1,6900.689564,8.442742879,2.950955007,8.740256902,2.32581E-18,5.49928E-17
CR381670.2,104.2420827,-2.328253314,2.403332678,-1.551554154,0.12076894,0.334114702
MUC15,253.7485573,4.741218675,2.391352377,6.094839097,1.09548E-09,1.5316E-08
CRIP3,17.38217306,0.046618891,1.946502019,0.964964287,0.3345627,0.615940146
CKAP2,95.48272851,1.022135481,2.740414932,3.689091526,0.000225056,0.001558591
LCN2,116.8829418,0.558898371,2.334920223,1.018378695,0.308498023,0.588338247
AC002467.1,32.25297608,0.656827608,2.219670741,2.891282137,0.003836735,0.02005037
PLEKHO1,130.4993096,0.169774063,1.466459858,3.636494918,0.000276373,0.001888223
LINC01422,58.22759267,-0.190732788,9.984457982,-0.143640163,0.885784624,1
HIST1H1E,109.5002659,2.67728118,3.006465942,2.242000581,0.024961335,0.100375989
TCIM,933.2209953,3.63084244,2.391400263,3.656472562,0.00025571,0.001757003
ARHGAP6,1993.715529,-0.896985441,1.549841275,-3.286089821,0.001015886,0.006246178
MS4A4A,103.4451925,2.958112322,3.946755862,0.119674252,0.904741197,1
LRTOMT,94.07148162,1.585936174,2.047151156,4.35768752,1.31444E-05,0.000114651
HOXC-AS2,33.1197449,0.269436289,2.182199981,0.86487664,0.3871065,0.665541956
CEP170,299.2723412,1.278984312,0.982064523,10.42170267,1.97387E-25,6.38992E-24
CCDC39,14.47574625,-0.079848251,1.481195592,0.603633705,0.546087199,0.793150137
AMBP,62.89027314,0.502415697,1.812350382,2.064371104,0.038982544,0.143224086
S100A16,615.5431936,4.925306944,2.09567784,7.496162164,6.57135E-14,1.21212E-12
BAZ1A,627.1113942,-0.290085179,0.246645632,-3.055553733,0.002246453,0.012577793
MUC1,1243.201906,2.919304558,2.021748883,2.450423456,0.01426883,0.062879491
RNF19A,1024.621546,0.038463559,0.573081182,1.580530144,0.113985509,0.321525791
DIPK1B,85.68241459,0.099571568,1.427375453,1.479754466,0.138938784,0.366614457
KCNK13,113.1679437,0.18693761,1.215062848,-1.363089677,0.17285425,0.419955006
CCDC141,21.98844175,-0.151230284,1.88994237,1.013815694,0.310670705,0.590666199
UFSP1,20.36797204,0.46647261,2.473117452,1.095502625,0.273296496,0.550300835
AC119403.1,25.5739697,-0.097578994,5.952052227,-0.099887617,0.920433547,1
TRAF3IP3,208.6148629,0.291656057,32.68799936,0.267281536,0.789252402,0.95616199
TACC1,2071.472188,-0.033936419,0.364332945,1.934784131,0.053016791,0.183119579
SP140,170.3096682,0.27131685,1.87953802,1.397935584,0.162132412,0.404785553
FNDC10,24.75498048,0.422092328,1.962768775,1.380920848,0.167303299,0.412043637
SIM1,501.6449009,1.090277999,2.872382694,-3.890630525,9.99841E-05,0.000735208
FCGR3A,361.5169804,7.284524516,5.196774187,5.030627557,4.88877E-07,5.12073E-06
HAS1,17.74099318,0.113873177,40.28432976,0.246832816,0.805037613,0.965875505
AL118506.1,31.6279939,0.469769642,1.162868167,4.343833687,1.40018E-05,0.000121361
IMPA2,1396.377769,0.868737678,1.339783605,4.309151378,1.63882E-05,0.000139909
SLC5A8,68.6101174,0.092506069,1.682193247,0.35330268,0.723861537,0.914256644
LINC00955,19.73842973,-0.128108541,3306.229307,-0.305621291,0.759893007,0.938760047
DOCK5,454.2443355,-0.88218806,1.411074613,-1.208688267,0.226782631,0.493965238
CERNA2,69.40729682,0.253300048,1.525153531,0.280154504,0.77935897,0.949139408
IGLC1,1031.145093,3.429234918,9.632435283,0.360459379,0.718503629,0.910469526
NKD2,15.03315437,-0.66971693,1.248851619,0,1,1
LIPE,46.17084843,0.096551078,0.818847144,3.723611774,0.000196393,0.001375891
DSCAM,62.19439198,-0.583242024,2.090297429,0.655286749,0.512283151,0.766586896
HSD17B2,45.64932241,-0.047974614,2.715164195,0.185136348,0.853122093,0.991694039
PIH1D2,50.08370268,1.434105131,1.721614017,3.745090772,0.000180329,0.00127073
ANKH,350.7384176,-0.352446884,1.21368762,-4.055214275,5.00884E-05,0.000392848
NDUFB1,4474.440068,4.553424217,2.071241912,9.656184226,4.62781E-22,1.27192E-20
PKD2L2,58.85112412,0.326111825,0.329412377,0,1,1
GREM2,21.04690429,-0.059500751,2.282244934,0.764941865,0.444306163,0.712722766
PPP1R18,167.1514835,2.333463683,3.147014922,5.143933746,2.69044E-07,2.92283E-06
C1QTNF6,36.39410868,0.218841841,1.30525406,0.878101127,0.379888842,0.660227833
ROBO3,37.66998035,0.022555052,20.97977383,0.013170345,0.989491889,1
DENND2C,117.208034,-0.171174189,1.642041103,0.362432349,0.717028969,0.909676284
PTPN20,130.8138408,-0.124622821,1.195314061,22.78307998,6.7476E-115,1.5877E-112
LINC01569,33.0643172,0.251858542,1.637839973,1.017613171,0.308861826,0.588735434
LINC01091,214.4988886,-0.094004406,48.36864509,-0.124661161,0.900791806,1
LCAT,41.77666774,0.052496913,1.482343327,0.136354582,0.891540976,1
HOXA11-AS,15.39524048,0.358091621,1.77331474,1.020587376,0.307449973,0.587851936
FAM102B,144.2529845,0.352216819,1.342383646,1.531150204,0.125732274,0.343998653
AL117327.1,16.65305964,-0.026433212,1.409726037,0.169712641,0.865236132,0.99804354
FXYD2,46456.79244,5.124649012,1.203236272,10.08575519,6.38721E-24,1.93766E-22
AC006449.2,13.73520492,0.295653493,1.5320836,1.718536432,0.085698815,0.262956893
ANXA1,1742.666526,1.876987905,1220.927153,7.241835713,4.42652E-13,7.73598E-12
RMRP,30.49376337,0.204185766,2.148107136,0.497062499,0.619144979,0.843509619
PALM2-AKAP2,823.5806859,-0.458364314,0.474989081,-1.061949071,0.288258806,0.568131094
LINC02613,40.45565565,-0.152525232,9.015174566,0.143471702,0.885917658,1
PEA15,249.9124634,3.286065699,2.101357644,6.995349118,2.64599E-12,4.34114E-11
CARD16,281.885527,7.674606751,3.583507545,-0.411580639,0.680646825,0.885051883
CLUH,277.425034,-0.023845371,36.31098418,-0.025430686,0.979711435,1
MFGE8,229.3951976,1.660376878,2.844607427,-0.564991219,0.572079737,0.810780403
PDCD1,18.28047872,0.773589748,3.095846117,1.835539375,0.066425811,0.217290369
EML2-AS1,12.87666477,0.410467218,2.175762971,1.260819612,0.207373846,0.46861923
LYG1,119.9599879,-0.370958424,2.255657792,0.812757889,0.416356884,0.691427827
MTHFS,938.2315578,0.40135083,1.845856793,3.489673483,0.000483611,0.003139566
STC1,511.9730279,2.695524184,2.725697666,1.597704452,0.110108767,0.314638412
CDNF,42.21907522,0.461283562,1.5572327,1.315325045,0.188400684,0.443642289
