,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FMNL2,1035.138395,-0.91047948,1.52621999,-1.530331132,0.125934786,0.34406482
DENND2D,197.3754411,0.811077168,1.86597167,2.056059867,0.039776746,0.145199347
TMEM256,1602.649072,6.96421709,5.094686911,5.213855671,1.84955E-07,2.06273E-06
PDZD3,74.45330953,-1.158033346,36.82914968,0.499767941,0.617238486,0.841863379
SRGAP2-AS1,21.90367623,-0.056622759,1.713262188,1.222695645,0.221444673,0.48652495
RRAS,262.3658042,4.596972004,2.050122271,6.455743157,1.07689E-10,1.61567E-09
C9orf24,94.33404762,-0.034334247,1.618790854,1.770141192,0.076703623,0.241737946
LINC00957,15.86850953,0.172765462,1.741006284,1.354515668,0.175571918,0.424390452
TIMM8A,118.4025967,3.431821108,2.586406772,4.355327929,1.32868E-05,0.000115788
CDKN1C,551.8609379,2.685722919,1.818320735,5.294484053,1.19353E-07,1.3626E-06
AL049869.2,31.09053458,0.138478203,1.997901888,0.349046483,0.727054413,0.9157715
FAM78B,31.8294611,-0.403813777,1.42312187,-0.501669291,0.615900169,0.840924499
CYSTM1,4955.792049,4.026369773,0.298258878,28.84824695,5.33E-183,1.9044E-180
CR382287.2,18.2040244,-0.19462412,2.076907818,0.436404917,0.662542972,0.873162849
LINC02166,42.3492697,0.137969305,1.691122443,1.371899177,0.170094827,0.415840039
AC090630.1,51.49510865,-0.092258294,10.72819274,0.048196692,0.961559486,1
CLEC18B,145.8437335,-0.397257701,2.595398006,1.24085171,0.214660535,0.477109714
EMP3,870.9250833,4.939389655,2.346690969,10.36999439,3.39545E-25,1.08824E-23
UQCRHL,17.86155852,-0.274458682,1.533636284,0.285476838,0.775278847,0.947081983
PSMB9,557.8270651,4.370619934,1.199807985,5.782095129,7.3776E-09,9.60481E-08
AC104825.1,25.74815436,0.170598496,1.21462112,1.33740302,0.181091119,0.432101417
LRTM1,20.1570019,0.060237228,1.776359845,0.547688745,0.583905642,0.818979024
MAPK15,20.28616972,0.204656981,1.561762712,0.584796359,0.558684653,0.801193823
SMIM30,783.5677735,6.796713673,3.416242698,8.315065579,9.17015E-17,1.98351E-15
DNAH12,52.3183057,-0.442208149,1.008544284,2.063591967,0.03905642,0.143424927
TPT1,34366.39271,8.692697454,4.947476997,10.91459691,9.81638E-28,3.44359E-26
